C,No. of features,Balanced accuracy,Final score
1.7,715.0,0.9701715039039382,0.9369215039039382
1.71,712.0,0.9701633409384962,0.9370633409384962
1.72,735.0,0.9691694998959222,0.9349194998959222
1.73,771.0,0.9681348440261378,0.9320848440261378
1.74,707.0,0.9706725059079462,0.9378225059079461
1.75,739.0,0.9701551779730541,0.9357051779730541
1.76,948.0,0.9691613369304801,0.9242613369304801
1.77,730.0,0.966648163944998,0.9326481639449979
1.78,771.0,0.9706969948042725,0.9346469948042725
1.79,745.0,0.9721918378508545,0.9374418378508544
1.8,705.0,0.9691368480341538,0.9363868480341537
1.81,829.0,0.969662338934488,0.930712338934488
1.82,727.0,0.9721673489545282,0.9383173489545281
1.83,832.0,0.9671246770526798,0.9280246770526798
1.84,753.0,0.9716989988122885,0.9365489988122885
1.85,778.0,0.9666073491177876,0.9302073491177876
1.86,789.0,0.9716581839850782,0.9347081839850782
1.87,766.0,0.969662338934488,0.933862338934488
1.8800000000000001,717.0,0.9691858258268063,0.9358358258268064
1.8900000000000001,735.0,0.9691205221032697,0.9348705221032697
1.9000000000000001,847.0,0.9701551779730541,0.930305177973054
1.9100000000000001,751.0,0.968151169957022,0.933101169957022
1.9200000000000002,764.0,0.969646013003604,0.933946013003604
1.93,726.0,0.9691531739650381,0.935353173965038
1.94,826.0,0.9691286850687117,0.9303286850687118
1.95,783.0,0.9691858258268063,0.9325358258268064
1.96,770.0,0.9711816708773964,0.9351816708773963
1.97,778.0,0.9671573289144481,0.9307573289144481
1.98,754.0,0.96865217196103,0.93345217196103
1.99,784.0,0.9701551779730541,0.9334551779730541
2.0,724.0,0.9701796668693803,0.9364796668693803
2.01,586.0,0.9727010028203045,0.9459010028203044
2.02,782.0,0.9691613369304801,0.9325613369304802
2.03,765.0,0.9701715039039382,0.9344215039039383
2.04,780.0,0.9676011901603614,0.9311011901603614
2.05,807.0,0.9726928398548624,0.9348428398548624
2.0599999999999996,587.0,0.9671654918798901,0.94031549187989
2.07,782.0,0.9641023390977475,0.9275023390977475
2.0799999999999996,836.0,0.9686358460301459,0.9293358460301459
2.09,744.0,0.9711979968082805,0.9364979968082805
2.0999999999999996,739.0,0.9666400009795558,0.9321900009795558
2.11,924.0,0.96814300699158,0.92444300699158
2.1199999999999997,745.0,0.9706725059079462,0.9359225059079461
2.13,732.0,0.9661308360101057,0.9320308360101057
2.1399999999999997,791.0,0.9656053451097715,0.9285553451097714
2.15,780.0,0.9696378500381619,0.933137850038162
2.1599999999999997,826.0,0.9671573289144481,0.928357328914448
2.17,741.0,0.9676501679530141,0.9331001679530141
2.1799999999999997,767.0,0.9726928398548624,0.9368428398548624
2.19,822.0,0.9732020048243126,0.9346020048243127
2.1999999999999997,818.0,0.9665910231869033,0.9281910231869033
2.21,771.0,0.9671083511217955,0.9310583511217955
2.2199999999999998,843.0,0.9686603349264721,0.9290103349264721
2.23,883.0,0.9737274957246469,0.9320774957246469
2.2399999999999998,789.0,0.9696705018999302,0.9327205018999302
2.25,749.0,0.9661226730446637,0.9311726730446637
2.26,823.0,0.969662338934488,0.9310123389344881
2.27,798.0,0.9722000008162965,0.9348000008162966
2.28,813.0,0.9656053451097715,0.9274553451097715
2.29,591.0,0.9701633409384962,0.9431133409384962
2.3,828.0,0.9666073491177876,0.9277073491177875
2.31,764.0,0.9661308360101057,0.9304308360101058
2.32,882.0,0.9701633409384962,0.9285633409384962
2.3299999999999996,799.0,0.9701470150076119,0.9326970150076119
2.34,984.0,0.9716826728814043,0.9249826728814043
2.3499999999999996,851.0,0.9737030068283206,0.9336530068283205
2.36,791.0,0.9721755119199702,0.9351255119199702
2.3699999999999997,825.0,0.9701633409384962,0.9314133409384963
